title,year,metacritc_rating,netflix,amazon_prime,hulu
Stand Clear of the Closing Doors,2014,90,,t,t
Tulpan,2009,91,,,t
Ballast,2008,87,,t,t
Momma's Man,2008,87,,,t
Intolerance,1916,94,,t,t
The Apostle,1997,87,,,t
Fresh,1994,86,,,t
Georgia,1995,86,,,t
Sound and Fury,2000,88,,,t
Hoop Dreams,1994,99,,t,t
The Snapper,1993,87,,,t
Bloody Sunday,2002,93,,,t
Children Underground,2001,89,,,t
Brother's Keeper,1992,95,t,,t
Turtles Can Fly,2005,88,,,t
Grizzly Man,2005,90,,,t
Neil Young: Heart of Gold,2006,88,,,t
Iraq in Fragments,2006,87,,,t
Requiem,2006,86,,,t
No End in Sight,2007,92,,,t
Trouble the Water,2008,86,,t,t
Man on Wire,2008,92,,,t
Dear Zachary: A Letter to a Son About His Father,2008,86,,t,t
White Material,2010,85,,,t
Restrepo,2010,88,,,t
Exit Through the Gift Shop,2010,89,,,t
Marwencol,2010,86,,,t
We Were Here,2011,96,,t,t
Carlos,2010,96,,,t
Pina,2011,87,,,t
How to Survive a Plague,2012,89,,,t
Side by Side,2012,86,,,t
Apocalypse Now Redux,2001,94,,,t
Blackfish,2013,87,t,,t
A Film Unfinished,2010,91,,,t
The Decline of Western Civilization,1981,95,,t,t
The Class,2008,95,,,t
Deliver Us from Evil,2006,89,,,t
Downhill Racer,1969,93,,,t
Pete Seeger: The Power of Song,2007,86,,,t
Project Nim,2011,87,,,t
The Band Wagon,1953,95,,,t
A Christmas Tale,2008,88,,,t
Le Havre,2011,86,,,t
Lantana,2001,88,,,t
The Tillman Story,2010,90,,t,t
The Square,2013,87,t,t,t
Gregory Crewdson: Brief Encounters,2012,90,,,t
Living in Oblivion,1995,86,,t,t
The Cove,2009,87,,,t
Barbara,2012,89,,,t
The Interrupters,2011,89,,,t
Aladdin,1992,89,,,t
Only Angels Have Wings,1939,89,,,t
George Washington,2000,86,,,t
No Man's Land,2001,88,,,t
American Movie,1999,88,,,t
The Waiting Room,2012,87,,,t
The Magnificent Ambersons,1942,96,t,,t
When We Were Kings,1996,87,,,t
Duma,2005,86,,,t
Our Daily Bread,2006,89,,,t
The Savages,2007,89,,,t
Gideon's Army,2013,90,,t,t
Homicide,1991,87,,,t
Guy and Madeline on a Park Bench,2010,87,,,t
One False Move,1992,90,,,t
Inside Job,2010,91,,,t
Under African Skies,2012,86,,,t
Cutie and the Boxer,2013,87,t,,t
Enron: The Smartest Guys in the Room,2005,86,,,t
Capturing the Friedmans,2003,92,,,t
4 Little Girls,1997,92,,t,t
In the Shadow of the Moon,2007,88,,t,t
Stop Making Sense,1984,92,,t,t
Vera Drake,2004,87,,,t
Days of Glory,2006,86,,,t
These Birds Walk,2013,86,,,t
The Maid,2009,86,,,t
The Illusionist,2010,86,,,t
The Gunfighter,1950,96,,,t
The Selfish Giant,2013,87,,,t
Let the Fire Burn,2013,89,,,t
The Missing Picture,2013,90,,,t
Life Itself,2014,90,,,t
"20,000 Days on Earth",2014,86,,t,t
Force Majeure,2014,90,,,t
Love Is Strange,2014,86,,,t
Last Days in Vietnam,2014,90,,t,t
The Overnighters,2014,92,,,t
Maidan,2014,89,,,t
Watchers of the Sky,2014,88,,,t
Night Will Fall,2014,89,,,t
Big Men,2014,93,,,t
Tales of the Grim Sleeper,2014,89,,t,t
Red Army,2014,87,,,t
Approaching the Elephant,2015,86,,t,t
The Second Mother,2015,86,,t,t
Twinsters,2015,85,t,,t
Gloria,2014,87,,,t
Seymour: An Introduction,2015,87,,,t
Listen to Me Marlon,2015,90,,,t
Western,2015,92,,,t
Spotlight,2015,95,,t,t
Court,2015,86,,,t
The Forbidden Room,2015,87,,t,t
Heart of a Dog,2015,88,,,t
Sherpa,2015,95,,,t
Weiner,2016,87,,,t
The Fits,2016,93,,t,t
De Palma,2016,87,t,,t
Cameraperson,2016,90,,,t
Tower,2016,94,,,t
Newtown,2016,91,t,,t
Fire at Sea,2016,90,t,,t
Uncertain,2017,92,,,t
The Levelling,2017,86,t,,t
Glory,2017,87,,,t
Dolores,2017,85,,,t
Chasing Coral,2017,89,t,,t
Our Time Will Come,2017,86,,t,t
City of Ghosts,2017,89,,t,t
Step,2017,86,,,t
Dawson City: Frozen Time,2017,88,,,t
Strong Island,2017,89,t,,t
Restless Creature: Wendy Whelan,2017,91,t,,t
Office,2015,87,t,,t
Jane,2017,90,,,t
Kaili Blues,2016,88,,,t
I Am Another You,2017,89,,t,t
The Departure,2017,88,,t,t
The Work,2017,88,,,t
BPM (Beats Per Minute),2017,88,,,t
Faces Places,2017,96,,,t
Quest,2017,91,,,t
Crime + Punishment,2018,91,,,t
Isle of Dogs,2018,86,,,t
Love After Love,2018,87,,,t
Eighth Grade,2018,92,,t,t
Mountain,2018,86,t,,t
The Other Side of Hope,2017,87,,,t
First Reformed,2018,89,,t,t
The Tale,2018,93,,,t
Who We Are Now,2018,87,,,t
Won't You Be My Neighbor?,2018,88,,,t
Hereditary,2018,90,,t,t
Foxtrot,2017,91,,,t
Araby,2018,86,,,t
Leave No Trace,2018,91,,t,t
McQueen,2018,88,,t,t
BlacKkKlansman,2018,87,,,t
John McEnroe: In the Realm of Perfection,2018,86,,t,t
Support the Girls,2018,88,,,t
Western,2018,86,,t,t
Jane Fonda in Five Acts,2018,91,,,t
Tea with the Dames,2018,89,,,t
A Star Is Born,2018,91,,,t
Free Solo,2018,86,,,t
Private Life,2018,87,t,,t
The Hate U Give,2018,86,,,t
First Man,2018,87,,,t
The Guilty,2018,87,,,t
The Waldheim Waltz,2018,86,,,t
Can You Ever Forgive Me?,2018,90,,,t
Shirkers,2018,91,t,,t
Burning,2018,93,t,,t
Widows,2018,87,,,t
Roma,2018,98,t,,t
The Favourite,2018,93,,,t
Shoplifters,2018,95,,,t
Happy as Lazzaro,2018,90,t,,t
Spider-Man: Into the Spider-Verse,2018,90,t,,t
On Her Shoulders,2018,87,,,t
They Shall Not Grow Old,2018,94,,,t
If Beale Street Could Talk,2018,90,,,t
"Hale County This Morning, This Evening",2018,88,,,t
Three Colors: Red,1994,100,,,t
Wrestle,2019,86,,,t
Apollo 11,2019,91,,,t
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,89,t,,t
Three Colors: White,1994,91,,,t
Three Colors: Blue,1993,88,,,t
